Würmli, Marcus (Bearb.); Der Kinder Brockhaus in vier Bänden (I);Brockhaus, Mannheim;3765318213
Würmli, Marcus; Der Kinder Brockhaus(in drei Bänden) (III);Brockhaus, Mannheim;3765318248
Würmli, Marcus (Bearb.); Der Kinder Brockhaus in vier Bänden (III);Brockhaus, Mannheim;3765318310
Würmli, Marcus; Der Kinder Brockhaus (in drei Bänden) (V);Brockhaus, Mannheim;3765318345
Würmli, Marcus  (Hrsg.); Der Kinder Brockhaus in vier Bänden (IV);Brockhaus, Mannheim;3765318418
Alexander, Pat; Meine kleine Kinderbibel (I);Brunnen;3765556106
Garnweidner, Edmund; GU Naturführer: Pilze - Bestimmen leicht gemacht (II);Gräfe und Unzer;3774248761
Verschiedene Autoren;24 Leselöwen-Geschichten zum Advent;Loewe;3785533136
Verschiedene Autoren;33 3/4 Lesepiraten-Geschichten - Die spannendsten Abenteuer;Loewe;3785546084
verschiedene Autoren;24 Bildermaus-Adventskalendergeschichten (1.+2.12.);Loewe;3785551282
Koenig, Christina;1:0 für die Strandkicker;Loewe;3785556322
Barth, Reinhard; Nachgefragt: Weltgeschichte - Basiswissen zum Mitreden (I);Loewe;3785556691
Verschiedene;24 Geschichten zum Advent;Loewe;3785559909
Kopietz, Gerit~Sommer, Jörg~Zöller, Elisabeth u. a.;24 Lesepiraten-Geschichten zum Advent;Loewe;3785564732
Finifter, Germaine; Körper und Gesundheit (I);Tessloff;3788604786
Wilkinson, Philip; Entdecker (I);Tessloff;3788609494
Rock, Lois; Tessloffs Enzyklopädie - Jesus (I);Tessloff;3788613890
Lawton, Clive A.; Die Geschichte des Holocaust (I);Oetinger;3789141534
Rettich, Margret;20 Geschichten von Jan und Julia;Oetinger;3789146021
Schmid, Thomas;33 Bazi-Geschichten;Oetinger;3789147192
Sortland, Björn;12 Dinge,  die ich noch erledigen muss, bevor die Welt untergeht;Oetinger;3789147206
Kunnas, Mauri;12 Geschenke für den Weihnachtsmann;Oetinger;3789160911
Roeder, Annette;13 Bauwerke, die du kennen solltest (I);Prestel;3791340395
Wenzel, Angela;13 Künstler, die du kennen solltest (I);Prestel;3791340409
McNaughton, Colin;... und Tooor!;Sauerländer;3794142926
Heumann~Hans-Günther und Monika; Musiklexikon für Kinder (I);Schott;3795700256
Hansen, Walter; Pfadfinder - Handbuch: Tipps, Tricks, Abenteuer (I);Ueberreuter;3800015722
Smith, Pete;1227 - Verschollen im Mittelalter;Ueberreuter;3800051001
Smith, Pete;168 - Verschollen in der Römerzeit;Ueberreuter;3800052415
Carle, Eric;10 kleine Gummienten;Gerstenberg;3806750815
Guibert, Françoise de; Der weiße Planet (I);Gerstenberg;3806751285
Mallard, Neil; Sehen. Staunen. Wissen. - U-Boote. Von der militärischen Nutzung bis zur Erforschung der Tiefsee (I);Gerstenberg;3806755396
Verne, Jules;20000 Meilen unter dem Meer;gondolino;3811221507
Burnie, David (Hg.); Naturführer für Kinder: Blumen - Entdecken, beobachten, bestimmen und verstehen (I);Saatkorn-Verlag;3815009111
Sattrasai, Monika; Großes farbiges Kinderlexikon (I);Compact;3817452500
Krabbe, Wiebke (Übersetzung); Mein erstes Lexikon in Farbe ( I );Xenos;3821220414
Parker, Steve;100 faszinierende Tatsachen Dinosaurier;Xenos;3821225807
Macdonald, Fiona; Wikinger (I);Xenos;3821228636
Hibbert, Adam; Wunder der Welt (IV);Xenos;3821228644
Reidel, Marlene; Hänschen klein. Kinderlieder aus dem Volksgut.;Sellier;3822110132
Gavalda, Anna;35 Kilo Hoffnung;Bloomsbury;3827050146
Bingham, Caroline; Ich will was wissen über Flugzeuge (I);Dorling Kindersley;3831004943
Bridgman, Roger;1000 Erfindungen & Entdeckungen - Vom Faustkeil bis zur Gentechnik (I);Dorling Kindersley;3831010587
Ludwig, Mario; Die 55 gefährlichsten Tiere der Welt (I);blv;3835400959
Düwel, Norbert; Dribbeln, passen, schießen - Profi-Tipps für Kids (I);blv;3835401319
Ludwig, Mario~Kögel, Friedrich; Die Erde -Rätsel, Fakten und Rekorde. Unglaublich aber wahr (I);blv;3835401416
Kohm, Ines A.;1:0 für Lukas;Tosa;3850030083
Krasny, Elke; Warum ist das Licht so schnell hell? Eine Reise durch die Welt des Lichts (II);NP;3853263046
Unbekannt; Kinder entdecken Naturereignisse (I);Christian;3884725947
Feltwell, John; Schmetterlinge - Entdecken, beobachten, bestimmen und verstehen (II);Gerth Medien GmbH;3894372362
Bourseiller, Philippe~Guigon, Catherine; Die Sahara für Kinder erzählt (I);Knesebeck;3896603280
Beaumont, Emilie~Pimont, Marie-Renée; Dein buntes Wörterbuch der Kinder der Welt (I);Fleurus;3897170221
Beaumont, Émilie; Dein buntes Wörterbuch der Berge (I);Fleurus;3897170795
Beaumont, Emilie~Belineau, Nathalie; Dein buntes Wörterbuch des Fantastischen (I);Fleurus;3897170833
Beaumont, Emilie; Dein buntes Wörterbuch der Bibel (I);Fleurus;3897170868
Beaumont, Emilie; Dein buntes Wörterbuch Erfindungen (I);Fleurus;3897171627
Pimont, Marie-Renée; Dein buntes Wörterbuch Kunst (II);Fleurus;3897171813
Joly, Dominique; Frühe Kulturen   ( VI );Fleurus;3897171996
Beaumont, Emilie; Dein buntes Wörterbuch der Tiere (I);Fleurus;3897172399
Beaumont, Emilie; Dein buntes Wörterbuch Geschichte (I);Fleurus;3897173247
Saan, Anita van;365 Experimente für jeden Tag;Moses Verlag;3897771136
Gießler, Christof; Ich bin ein Wissenschaftler (I);Moses Verlag;3897772108
Pimont, Marie-Renée~Reinig, Patricia; Dein buntes Wörterbuch der Pferde und Ponys ( I );Fleurus;3930710269
Butterworth, Nick; Kein leichter Fall für Jonathan;Riesenrad;3935746369
Härter, Simone;10 kleine Weihnachtsfrösche;Härter Verlag;3981080726
Guirao-Jullien, Magdalena~Bouchama, Nadia;24 petites souris et la neige de Noël;Père Castor;208165413X
Kohlheim, Rosa~Kohlheim, Volker; Lexikon der Vornamen (II);Bibliographisches Institut;341104943X
Carter, David A.;1 roter Punkt;Boje;341482082X
Hensel, Wolfgang  (Übersetzer); Der große Ravensburger Atlas der Saurier (I);Ravensburger;347335855X
Packard, Edward;1000 Gefahren im Strafraum;Ravensburger;347352316X
Ullrich, Hortense;... und wer liebt mich?;Thienemann;352217500X
Friedrich, Joachim;3 mit Papagei suchen den Vogeldieb;Thienemann;352217951X
Christie, Agatha;16 Uhr 50 ab Paddington;Fischer;359650743X
Bieniek, Christian;15, Jungfrau, Schlampe;Fischer;359685122X
Welsh, Renate~Ruyer, Francois;... denn Toto ist groß und stark;Neuer Breitschopf;370040140X
Wilkens, Anne~Westphal, Catharina; Echt peinlich! Voll daneben! (I);ars Edition;376074821X
Smith, Pete;2033 - Verschollen in der Zukunft;Ueberreuter;380005387X
Arlon, Penelope; Tierlexikon für Kinder (II);Dorling Kindersley;383100630X
Knister;... das verspreche ich dir;Neugebauer, Michael, Verlag, Grossau;386566038X
Unbekannter Verfasser; Spannendes Wissen: Die Welt der Wissenschaft (I);unipart (im area Verlag, Erftstadt);389996537X
Seehaus, Astrid;1, 2, 3 - fertig ist die Liebeshexerei;Undine;398091593X
